[DEBUG] - [2017/08/17 11:29:29.862]【IMCORE-本机QoS】【QoS发送方】=========== 消息发送质量保证线程已成功启动 | (QoS4SendDaemonRoot^startup:292)
[INFO] - [2017/08/17 11:29:29.867][IMCORE] 配置项：未开启与MobileIMSDK Web的互通. | (ServerLauncher^startup:212)
[INFO] - [2017/08/17 11:29:29.888][IMCORE] 基于MobileIMSDK的UDP服务正在端口7901上监听中... | (ServerLauncher^startup:221)
[DEBUG] - [2017/08/17 11:34:29.861]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 11:34:29.865]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 11:39:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 11:39:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 11:44:29.937]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 11:44:29.939]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 11:49:29.861]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 11:49:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 11:54:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 11:54:29.863]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 11:59:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 11:59:29.863]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 12:04:29.861]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 12:04:29.867]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 12:09:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 12:09:29.863]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 12:14:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 12:14:29.865]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 12:19:29.861]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 12:19:29.863]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 12:24:29.861]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 12:24:29.864]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[DEBUG] - [2017/08/17 12:29:29.862]【IMCORE-本机QoS】【QoS接收方】++++++++++ START 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:105)
[DEBUG] - [2017/08/17 12:29:29.864]【IMCORE-本机QoS】【QoS接收方】++++++++++ END 暂存处理线程正在运行中，当前长度0. | (QoS4ReciveDaemonRoot^doTaskOnece:142)
[INFO] - [2017/08/17 13:35:38.888][IMCORE]与{uid:null}/192.168.1.188:51301的会话建立(sessionCreated)了... | (ServerCoreHandler^sessionCreated:301)
[INFO] - [2017/08/17 13:35:38.891][IMCORE]与{uid:null}/192.168.1.188:51301的会话(sessionOpened)打开了... | (ServerCoreHandler^sessionOpened:314)
[INFO] - [2017/08/17 13:35:39.000][IMCORE]>> 客户端{uid:null}/192.168.1.188:51301发过来的登陆信息内容是：loginInfo=1|getToken=1 | (LogicProcessor^processLogin:206)
